,Time (s),Voltage (V),Current (pA/pF)
27838,-0.15809999999999969,-0.051844052796215755,0.0
27839,-0.15799999999999992,-0.051879148546578165,0.0
27840,-0.1578999999999997,-0.05194781414511329,0.0
27841,-0.15779999999999994,-0.05151598382543678,0.0
27842,-0.15769999999999973,-0.051625848783093,0.0
27843,-0.15759999999999996,-0.05146105134660868,0.0
27844,-0.15749999999999975,-0.05132066834515907,0.0
27845,-0.15739999999999998,-0.05178301670862897,0.0
27846,-0.15729999999999977,-0.0516456855115587,0.0
27847,-0.1572,-0.051606012054627295,0.0
27848,-0.1570999999999998,-0.05146868085755702,0.0
27849,-0.15700000000000003,-0.0515053025101091,0.0
27850,-0.15689999999999982,-0.051554131380178524,0.0
27851,-0.1567999999999996,-0.05148088807507439,0.0
27852,-0.15669999999999984,-0.05171892881666285,0.0
27853,-0.15659999999999963,-0.05169298847943846,0.0
27854,-0.15649999999999986,-0.05166552224002441,0.0
27855,-0.15639999999999965,-0.05148546578164339,0.0
27856,-0.15629999999999988,-0.051497672999160755,0.0
27857,-0.15619999999999967,-0.051618219272144654,0.0
27858,-0.1560999999999999,-0.05140459296559091,0.0
27859,-0.1559999999999997,-0.05166857404440375,0.0
27860,-0.15589999999999993,-0.05162890058747234,0.0
27861,-0.15579999999999972,-0.05145037003128099,0.0
27862,-0.15569999999999995,-0.05171740291447317,0.0
27863,-0.15559999999999974,-0.05167772945754177,0.0
27864,-0.15549999999999997,-0.05163805600061036,0.0
27865,-0.15539999999999976,-0.051531242847333486,0.0
27866,-0.1553,-0.05144121461814297,0.0
27867,-0.15519999999999978,-0.05150988021667811,0.0
27868,-0.15510000000000002,-0.051541924162661165,0.0
27869,-0.1549999999999998,-0.05161974517433432,0.0
27870,-0.15490000000000004,-0.051793698023956655,0.0
27871,-0.15479999999999983,-0.05165636682688639,0.0
27872,-0.15469999999999962,-0.05151750972762645,0.0
27873,-0.15459999999999985,-0.05164568551155871,0.0
27874,-0.15449999999999964,-0.05152056153200579,0.0
27875,-0.15439999999999987,-0.05145189593347066,0.0
27876,-0.15429999999999966,-0.05159227893492027,0.0
27877,-0.1541999999999999,-0.05153734645609216,0.0
27878,-0.15409999999999968,-0.05148241397726406,0.0
27879,-0.15399999999999991,-0.05157244220645457,0.0
27880,-0.1538999999999997,-0.0516060120546273,0.0
27881,-0.15379999999999994,-0.05159533073929961,0.0
27882,-0.15369999999999973,-0.051538872358281834,0.0
27883,-0.15359999999999996,-0.05152361333638514,0.0
27884,-0.15349999999999975,-0.05155565728236819,0.0
27885,-0.15339999999999998,-0.051371023117418174,0.0
27886,-0.15329999999999977,-0.05153734645609216,0.0
27887,-0.1532,-0.05154192416266117,0.0
27888,-0.1530999999999998,-0.051306935225452044,0.0
27889,-0.15300000000000002,-0.05155718318455786,0.0
27890,-0.1528999999999998,-0.05146257724879835,0.0
27891,-0.15280000000000005,-0.05132524605172808,0.0
27892,-0.15269999999999984,-0.05135728999771114,0.0
27893,-0.15259999999999962,-0.05151140611886778,0.0
27894,-0.15249999999999986,-0.05129625391012436,0.0
27895,-0.15239999999999965,-0.05117265583276112,0.0
27896,-0.15229999999999988,-0.051279468986037996,0.0
27897,-0.15219999999999967,-0.050914778362706956,0.0
27898,-0.1520999999999999,-0.050951400015259024,0.0
27899,-0.1519999999999997,-0.05114976729991608,0.0
27900,-0.15189999999999992,-0.05110551613641565,0.0
27901,-0.1517999999999997,-0.05099870298313878,0.0
27902,-0.15169999999999995,-0.05101548790722515,0.0
27903,-0.15159999999999973,-0.05096208133058671,0.0
27904,-0.15149999999999997,-0.050785076676585036,0.0
27905,-0.15139999999999976,-0.05063859006637675,0.0
27906,-0.1513,-0.05088426031891356,0.0
27907,-0.15119999999999978,-0.050910200656137945,0.0
27908,-0.1511,-0.05077744716563669,0.0
27909,-0.1509999999999998,-0.05113908598458839,0.0
27910,-0.15090000000000003,-0.05114671549553674,0.0
27911,-0.15079999999999982,-0.05099717708094911,0.0
27912,-0.1506999999999996,-0.05103227283131151,0.0
27913,-0.15059999999999985,-0.05093308918898298,0.0
27914,-0.15049999999999963,-0.05067215991454947,0.0
27915,-0.15039999999999987,-0.051074998092622254,0.0
27916,-0.15029999999999966,-0.05127183947508965,0.0
27917,-0.1501999999999999,-0.051284046692607,0.0
27918,-0.15009999999999968,-0.05138017853055619,0.0
27919,-0.1499999999999999,-0.05119249256122683,0.0
27920,-0.1498999999999997,-0.050951400015259024,0.0
27921,-0.14979999999999993,-0.050792706187533385,0.0
27922,-0.14969999999999972,-0.050994125276569775,0.0
27923,-0.14959999999999996,-0.05102464332036317,0.0
