,Time (s),Voltage (V),Current (pA/pF)
109057,-0.14759999999999884,-0.059867246509498755,0.0
109058,-0.14749999999999908,-0.05992675669489587,0.0
109059,-0.1473999999999993,-0.059943541618982236,0.0
109060,-0.14729999999999954,-0.06014648661020829,0.0
109061,-0.14719999999999978,-0.06006713969634547,0.0
109062,-0.1471,-0.060097657740138866,0.0
109063,-0.14700000000000024,-0.060143434805828955,0.0
109064,-0.14690000000000047,-0.05989929045548181,0.0
109065,-0.14679999999999893,-0.060025940337224394,0.0
109066,-0.14669999999999916,-0.06023804074158848,0.0
109067,-0.1465999999999994,-0.06036469062333105,0.0
109068,-0.14649999999999963,-0.060413519493400486,0.0
109069,-0.14639999999999986,-0.06061036087586786,0.0
109070,-0.1463000000000001,-0.06032654306858931,0.0
109071,-0.14620000000000033,-0.059929808499275206,0.0
109072,-0.1460999999999988,-0.05998626688029298,0.0
109073,-0.14599999999999902,-0.05995269703212025,0.0
109074,-0.14589999999999925,-0.05961699855039292,0.0
109075,-0.14579999999999949,-0.05974975204089419,0.0
109076,-0.14569999999999972,-0.059757381551842535,0.0
109077,-0.14559999999999995,-0.05960936903944458,0.0
109078,-0.14550000000000018,-0.05971618219272145,0.0
109079,-0.14540000000000042,-0.06019531548027772,0.0
109080,-0.14529999999999887,-0.060117494468604565,0.0
109081,-0.1451999999999991,-0.060070191500724804,0.0
109082,-0.14509999999999934,-0.06048981460288396,0.0
109083,-0.14499999999999957,-0.060030518043793404,0.0
109084,-0.1448999999999998,-0.06000305180437935,0.0
109085,-0.14480000000000004,-0.06013733119707028,0.0
109086,-0.14470000000000027,-0.06015564202334631,0.0
109087,-0.14459999999999873,-0.06028381780727856,0.0
109088,-0.14449999999999896,-0.06027618829633021,0.0
109089,-0.1443999999999992,-0.06030060273136493,0.0
109090,-0.14429999999999943,-0.06005188067444878,0.0
109091,-0.14419999999999966,-0.05987335011825744,0.0
109092,-0.1440999999999999,-0.059891660944533465,0.0
109093,-0.14400000000000013,-0.05968261234454872,0.0
109094,-0.14390000000000036,-0.05963683527885863,0.0
109095,-0.14379999999999882,-0.059798580910963614,0.0
109096,-0.14369999999999905,-0.05984130617227436,0.0
109097,-0.14359999999999928,-0.05996032654306859,0.0
109098,-0.14349999999999952,-0.05994659342336157,0.0
109099,-0.14339999999999975,-0.05994354161898223,0.0
109100,-0.14329999999999998,-0.05986724650949874,0.0
109101,-0.14320000000000022,-0.05952086671244373,0.0
109102,-0.14310000000000045,-0.059726863508049136,0.0
109103,-0.1429999999999989,-0.05969024185549707,0.0
109104,-0.14289999999999914,-0.05966582742046236,0.0
109105,-0.14279999999999937,-0.06005493247882812,0.0
109106,-0.1426999999999996,-0.059879453727016106,0.0
109107,-0.14259999999999984,-0.05985809109636073,0.0
109108,-0.14250000000000007,-0.059928282597085526,0.0
109109,-0.1424000000000003,-0.05991302357518884,0.0
109110,-0.14229999999999876,-0.05999237048905166,0.0
109111,-0.142199999999999,-0.05992370489051652,0.0
109112,-0.14209999999999923,-0.059887083237964454,0.0
109113,-0.14199999999999946,-0.05990386816205083,0.0
109114,-0.1418999999999997,-0.05949492637521936,0.0
109115,-0.14179999999999993,-0.05947356374456399,0.0
109116,-0.14170000000000016,-0.05967956054016938,0.0
109117,-0.1416000000000004,-0.059501029983978035,0.0
109118,-0.14149999999999885,-0.05969176775768674,0.0
109119,-0.14139999999999908,-0.0597039749752041,0.0
109120,-0.14129999999999932,-0.059324025329976354,0.0
109121,-0.14119999999999955,-0.05893797207598993,0.0
109122,-0.14109999999999978,-0.059205004959182114,0.0
109123,-0.14100000000000001,-0.05943083848325323,0.0
109124,-0.14090000000000025,-0.05950865949492638,0.0
109125,-0.14080000000000048,-0.05978179598687725,0.0
109126,-0.14069999999999894,-0.059516289005874724,0.0
109127,-0.14059999999999917,-0.05923399710078584,0.0
109128,-0.1404999999999994,-0.05900511177233539,0.0
109129,-0.14039999999999964,-0.05904325932707713,0.0
109130,-0.14029999999999987,-0.05899290455481804,0.0
109131,-0.1402000000000001,-0.05892118715190356,0.0
109132,-0.14010000000000034,-0.05902342259861143,0.0
109133,-0.1399999999999988,-0.059079880979629205,0.0
109134,-0.13989999999999903,-0.05891660944533455,0.0
109135,-0.13979999999999926,-0.058962386511024645,0.0
109136,-0.1396999999999995,-0.05910734721904326,0.0
109137,-0.13959999999999972,-0.0589593347066453,0.0
109138,-0.13949999999999996,-0.059000534065766386,0.0
109139,-0.1394000000000002,-0.05907072556649119,0.0
109140,-0.13930000000000042,-0.05904173342488747,0.0
109141,-0.13919999999999888,-0.058924238956282904,0.0
109142,-0.1390999999999991,-0.05887541008621348,0.0
109143,-0.13899999999999935,-0.05893186846723125,0.0
109144,-0.13889999999999958,-0.05881589990081636,0.0
109145,-0.1387999999999998,-0.058890669108110166,0.0
109146,-0.13870000000000005,-0.05907377737087052,0.0
109147,-0.13860000000000028,-0.05891203173876554,0.0
109148,-0.13849999999999874,-0.05876096742198825,0.0
109149,-0.13839999999999897,-0.05898832684824903,0.0
109150,-0.1382999999999992,-0.058928816662851914,0.0
109151,-0.13819999999999943,-0.05889372091248951,0.0
109152,-0.13809999999999967,-0.059087510490577554,0.0
109153,-0.1379999999999999,-0.05905394064240482,0.0
109154,-0.13790000000000013,-0.05910124361028457,0.0
109155,-0.13780000000000037,-0.05913176165407797,0.0
109156,-0.13769999999999882,-0.05937285420004578,0.0
109157,-0.13759999999999906,-0.0591805905241474,0.0
109158,-0.1374999999999993,-0.05893034256504158,0.0
109159,-0.13739999999999952,-0.059093614099336236,0.0
109160,-0.13729999999999976,-0.05900205996795606,0.0
109161,-0.1372,-0.05901121538109408,0.0
109162,-0.13710000000000022,-0.05933775844968338,0.0
109163,-0.13700000000000045,-0.05935454337376975,0.0
109164,-0.1368999999999989,-0.05908140688181887,0.0
109165,-0.13679999999999914,-0.059261463340199896,0.0
109166,-0.13669999999999938,-0.059012741283283744,0.0
109167,-0.1365999999999996,-0.05884641794460975,0.0
109168,-0.13649999999999984,-0.05894254978255893,0.0
109169,-0.13640000000000008,-0.05905699244678416,0.0
109170,-0.1363000000000003,-0.05932555123216601,0.0
109171,-0.13619999999999877,-0.05923247119859617,0.0
109172,-0.136099999999999,-0.059288929579613944,0.0
109173,-0.13599999999999923,-0.05911955443656062,0.0
109174,-0.13589999999999947,-0.05871519035629816,0.0
109175,-0.1357999999999997,-0.058925764858472576,0.0
109176,-0.13569999999999993,-0.058988326848249034,0.0
109177,-0.13560000000000016,-0.05884794384679942,0.0
109178,-0.1355000000000004,-0.05903105210955978,0.0
109179,-0.13539999999999885,-0.058873884184023804,0.0
109180,-0.1352999999999991,-0.05877012283512627,0.0
109181,-0.13519999999999932,-0.058641947051194014,0.0
109182,-0.13509999999999955,-0.058675516899366745,0.0
109183,-0.1349999999999998,-0.05882658121614404,0.0
109184,-0.13490000000000002,-0.05869535362783246,0.0
109185,-0.13480000000000025,-0.05876249332417792,0.0
109186,-0.13470000000000049,-0.05898222323949035,0.0
109187,-0.13459999999999894,-0.05886320286869611,0.0
109188,-0.13449999999999918,-0.05889524681467917,0.0
109189,-0.1343999999999994,-0.05902952620737009,0.0
109190,-0.13429999999999964,-0.05881895170519569,0.0
109191,-0.13419999999999987,-0.05848325322346837,0.0
109192,-0.1341000000000001,-0.05858548867017624,0.0
109193,-0.13400000000000034,-0.058646524757763024,0.0
109194,-0.1338999999999988,-0.0586877241168841,0.0
109195,-0.13379999999999903,-0.058764019226367585,0.0
109196,-0.13369999999999926,-0.058820477607385374,0.0
109197,-0.1335999999999995,-0.05869535362783245,0.0
109198,-0.13349999999999973,-0.058591592278934915,0.0
109199,-0.13339999999999996,-0.058794537270160985,0.0
