Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[1, 11]",,,,1.0,56.5,36.6,1000.0
paced,1,"[25, 35]",0.5,,,2.0,54.1,27.5,1000.0
vcp_0_0,2,,,,,16.0,53.0,18.2,1000.0
vcp_70_0,3,,,,,,,,
vcp_70_70,4,,,,,,,,
proto_B,,,,,,,,,
proto_O,,,,,,,,,
vcp_opt,,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[5, 15]",,,,,,,,
vcp_0_0,16,,,,,,,,
vcp_70_0,17,,,,,,,,
vcp_70_70,18,,,,,,,,
spont,19,"[76, 86]",,,,,,,
paced,19,"[15, 25]",0.5,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,,,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,,,,,,,,,
spont,,,,,,,,,
paced,,,,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
