Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[1, 11]",,,,1.0,68.0,33.2,1190.0
paced,2,"[48, 58]",0.5,,,3.0,68.0,29.0,1267.0
vcp_0_0,3,,,,,13.0,67.4,20.3,509.0
vcp_70_0,4,,,,,33.0,65.5,22.0,463.0
vcp_70_70,5,,,,,,,,
proto_B,,,,,,,,,
proto_O,,,,,,,,,
vcp_opt,,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[6, 12]",,,,,,,,
vcp_0_0,13,,,,,,,,
vcp_70_0,14,,,,,,,,
vcp_70_70,15,,,,,,,,
spont,16,"[1, 11]",,,,,,,
paced,16,"[40, 50]",0.5,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,"[20, 32]",,,,,,,,
vcp_0_0,33,,,,,,,,
vcp_70_0,34,,,,,,,,
vcp_70_70,35,,,,,,,,
spont,36,"[1, 7]",,,,,,,
paced,36,"[42, 52]",0.5,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
