Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[2, 12]",,,,1.0,35.0,27.0,574.0
paced,2,"[44, 54]",1.0,,,3.0,34.0,28.0,492.0
vcp_0_0,,,,,,4.0,34.0,28.0,472.0
vcp_70_0,,,,,,5.0,34.0,27.0,450.0
vcp_70_70,3,,,,,17.0,33.0,25.0,348.0
proto_B,4,,,,,,,,
proto_O,5,,,,,,,,
vcp_opt,6,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[7, 16]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,17,,,,,,,,
spont,18,"[2, 12]",,,,,,,
paced,18,"[60, 70]",1.5,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,,,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,,,,,,,,,
spont,,,,,,,,,
paced,,,,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
