Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[5, 15]",,,,1.0,69.0,17.0,220.0
paced,2,"[40, 50]",1.0,,,3.0,69.0,16.0,230.0
vcp_0_0,,,,,,4.0,70.0,16.0,232.0
vcp_70_0,,,,,,5.0,70.0,15.0,237.0
vcp_70_70,3,,,,,6.0,70.0,15.0,226.0
proto_B,4,,,,,13.0,66.0,13.0,167.0
proto_O,5,,,,,,,,
vcp_opt,6,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[7, 12]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,13,,,,,,,,
spont,14,"[15, 25]",,,,,,,
paced,15,"[40, 50]",1.0,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,,,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,,,,,,,,,
spont,,,,,,,,,
paced,,,,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
