Time (s),Voltage (V),Current (pA/pF)
0.0,-0.08,1.5368588832287777
0.0001,-0.08,7.053188867137394
0.0002,-0.08,-38.246164983773326
0.00030000000000000003,-0.08,-23.964480152552223
0.0004,-0.08,-15.21081244503622
0.0005,-0.08,-8.993254073342541
0.0006000000000000001,-0.08,-5.206620779303578
0.0007,-0.08,-1.7706016791571089
0.0008,-0.08,-0.040904989287457956
0.0009000000000000001,-0.08,1.653730281192943
0.001,-0.08,2.074467313863939
0.0011,-0.08,2.845818540427432
0.0012000000000000001,-0.08,3.196432734319929
0.0013000000000000002,-0.08,3.219807013912762
0.0014,-0.08,3.4184883904518437
0.0015,-0.08,3.0912484761521797
0.0016,-0.08,3.149684175134263
0.0017000000000000001,-0.08,2.764008561852516
0.0018000000000000002,-0.08,2.6237628842955174
0.0019,-0.08,2.518578626127769
0.002,-0.08,2.261461550606604
0.0021000000000000003,-0.08,1.9926573352890236
0.0022,-0.08,1.6186688618036935
0.0023,-0.08,1.8991602169176909
0.0024000000000000002,-0.08,1.361551786282529
0.0025,-0.08,1.209618968929114
0.0026000000000000003,-0.08,0.8005690760545343
0.0027,-0.08,0.7771947964617012
0.0028,-0.08,0.4850163015512872
0.0029000000000000002,-0.08,0.2045249464372898
0.003,-0.08,0.22789922603012291
0.0031000000000000003,-0.08,-0.09934068826954075
0.0032,-0.08,-0.22789922603012291
0.0033,-0.08,-0.4850163015512872
0.0034000000000000002,-0.08,-0.5902005597190363
0.0035,-0.08,-0.8706919148330338
0.0036000000000000003,-0.08,-0.835630495443784
0.0037,-0.08,-0.8122562158509509
0.0038,-0.08,-1.2680546679111968
0.0039000000000000003,-0.08,-1.1745575495398641
0.004,-0.08,-1.232993248521947
0.0041,-0.08,-1.2797418077076135
0.004200000000000001,-0.08,-1.4901103240431115
0.0043,-0.08,-1.4784231842466948
0.0044,-0.08,-1.6069817220072768
0.0045000000000000005,-0.08,-1.7238531199714426
0.0046,-0.08,-1.653730281192943
0.0047,-0.08,-2.086154453660356
0.0048000000000000004,-0.08,-1.8757859373248578
0.0049,-0.08,-1.8173502383427749
0.005,-0.08,-2.238087271013771
0.0051,-0.08,-2.0627801740675227
0.005200000000000001,-0.08,-2.1796515720316885
0.0053,-0.08,-2.0627801740675227
0.0054,-0.08,-2.3315843893851036
0.0055000000000000005,-0.08,-2.2497744108101876
0.0056,-0.08,-2.1445901526424387
0.0057,-0.08,-2.2147129914209382
0.0058000000000000005,-0.08,-2.4484557873492694
0.0059,-0.08,-2.1796515720316885
0.006,-0.08,-2.238087271013771
0.0061,-0.08,-2.2848358301994374
0.006200000000000001,-0.08,-2.401707228163603
0.0063,-0.08,-2.4718300669421023
0.0064,-0.08,-2.354958668977937
0.006500000000000001,-0.08,-2.541952905720602
0.0066,-0.08,-2.5302657659241854
0.0067,-0.08,-2.2497744108101876
0.0068000000000000005,-0.08,-2.5302657659241854
0.006900000000000001,-0.08,-2.5536400455170183
0.007,-0.08,-2.588701464906268
0.0071,-0.08,-2.565327185313435
0.007200000000000001,-0.08,-2.693885723074017
0.0073,-0.08,-2.518578626127769
0.0074,-0.08,-2.6821985832776
0.007500000000000001,-0.08,-2.4952043465349356
0.0076,-0.08,-2.6705114434811836
0.0077,-0.08,-2.4718300669421023
0.0078000000000000005,-0.08,-2.460142927145686
0.0079,-0.08,-2.845818540427432
0.008,-0.08,-2.7055728628704334
0.0081,-0.08,-2.6821985832776
0.0082,-0.08,-2.401707228163603
0.0083,-0.08,-2.693885723074017
0.008400000000000001,-0.08,-2.588701464906268
0.0085,-0.08,-2.5536400455170183
0.0086,-0.08,-2.740634282259683
0.008700000000000001,-0.08,-2.658824303684767
0.0088,-0.08,-2.845818540427432
0.0089,-0.08,-2.5302657659241854
0.009000000000000001,-0.08,-2.7873828414453494
0.0091,-0.08,-2.483517206738519
0.0092,-0.08,-2.5536400455170183
0.009300000000000001,-0.08,-2.4718300669421023
0.0094,-0.08,-2.8107571210381828
0.0095,-0.08,-2.693885723074017
