voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,3.3125999999999998,4.9077,786.77
-70.0,3.3125999999999998,4.9077,782.56
-60.0,3.3125999999999998,4.9077,777.85
-50.0,3.3125999999999998,4.9077,768.56
-40.0,3.3125999999999998,4.9077,752.35
-30.0,3.3125999999999998,4.9077,782.5
-20.0,3.3125999999999998,4.9077,771.5
-10.0,3.3125999999999998,4.9077,779.56
0.0,3.3125999999999998,4.9077,785.72
10.0,3.3125999999999998,4.9077,792.11
20.0,3.3125999999999998,4.9077,798.37
30.0,3.3125999999999998,4.9077,805.4
40.0,3.3125999999999998,4.9077,772.64
50.0,3.3125999999999998,4.9077,745.28
60.0,3.3125999999999998,4.9077,750.16
70.0,3.3125999999999998,4.9077,781.34
80.0,3.3125999999999998,4.9077,770.85
